issued,describedByType,systemOfRecords,references,landingPage,title,theme,spatial,programCode,describedBy,description,language,isPartOf,bureauCode,contactPoint,accessLevel,publisher,keyword,license,rights,modified,accrualPeriodicity,dataQuality,distribution,identifier 
2009-10-29,,,['http://hordeumtoolbox.org'],,The Hordeum Toolbox,,n/a,['005:040'],,"THT hosts data generated by the Barley Coordinated Agricultural Project (CAP), and contains SNP, phenotypic, and pedigree data from breeding germplasm in the Barley CAP. This effort is now being carried forward as part of the Triticeae CAP in the T3 databases.",,,['005:18'],"{'hasEmail': 'mailto:gerard.lazo@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Gerard R. Lazo'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}",['Genetics Genomics Breeding'],https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1M,,"[{'downloadURL': 'http://hordeumtoolbox.org', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00037
2011-01-26,,,['http://wheat.pw.usda.gov'],,The Triticeae Toolbox,,n/a,['005:040'],,"The T3 project hosts data generated by the Triticeae Coordinated Agricultural Project (CAP) and contains SNP, phenotypic, and pedigree data from wheat and barley germplasm in the Triticeae CAP integrating rapidly expanding DNA marker and sequence data with traditional phenotypic data to provide access to predictive analyses mapping genotype to phenotype and enabling breeders to select on marker data alone.",,,['005:18'],"{'hasEmail': 'mailto:gerard.lazo@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Gerard R. Lazo'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}",['Genetics Genomics Breeding'],https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1M,,"[{'downloadURL': 'http://triticeaetoolbox.org', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00038
1997-11-01,,,['http://scabusa.org'],,The Wheat and Barley Scab Initiative,,n/a,['005:040'],,"The goal of the U.S. Wheat and Barley Scab Initiative (USWBSI) is to develop effective control measures that minimize the threat of Fusarium head blight (scab), including the reduction of mycotoxins, to the producers, processors, and consumers of wheat and barley. Community activities are reported here.",,,['005:18'],"{'hasEmail': 'mailto:gerard.lazo@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Gerard R. Lazo'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}",['Genetics Genomics Breeding'],https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1M,,"[{'downloadURL': 'http://scabusa.org', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00039
2009-12-03,,,['http://avena.pw.usda.gov/RHmapping/'],,Transformative Research for Large Genome Physical Maps,,n/a,['005:040'],,"The main goal of the project is to construct and utilize high-resolution genome-wide RH-based physical maps of the wheat D-genome chromosomes to facilitate the construction of sequence-ready physical maps. This research provides an unprecedented view into the evolution of cereal genomes. Importantly, the methodology is being developed to be applied to other large and complex genomes such as polyploid wheat.",,,['005:18'],"{'hasEmail': 'mailto:gerard.lazo@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Gerard R. Lazo'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}",['Genetics Genomics Breeding'],https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P3M,,"[{'downloadURL': 'http://avena.pw.usda.gov/RHmapping/', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00040
,,,,,USDA Agricultural Research Service- Patented Animal Health Technologies,,,['005:040'],,Patented technologies on animal health that are available for licensing,,,['005:18'],"{'hasEmail': 'mailto:Robert.Griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['animals', 'antibodies', 'avian', 'bovine', 'disease', 'infection', 'poultry', 'toxins', 'vaccine', 'vitamin']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'https://inventory.data.gov/dataset/765bb793-21ff-4c37-a398-6d6e999899a0/resource/550bac84-14ef-4aab-8754-a5346b96a30f/download/animalhealthnew.xml', '@type': 'dcat:Distribution', 'format': 'xml', 'mediaType': 'application/xml', 'title': 'Patented Animal Health Technologies'}]",USDA-ARS-00045
,,,,,USDA Agricultural Research Service- Patented BioEnergy Technologies,,,['005:040'],,Patented technologies on BioEnergy that are available for licensing,,,['005:18'],"{'hasEmail': 'mailto:robert.griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['biofuels', 'chemical', 'energy', 'ethanol', 'fluids', 'gas', 'oil']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'https://inventory.data.gov/dataset/4a57f749-6d14-47f4-b39e-6f9f7d2d5dce/resource/b9408f2a-5524-4773-85ae-688ce62cc428/download/bioenergynew.xml', '@type': 'dcat:Distribution', 'format': 'xml', 'mediaType': 'application/xml', 'title': 'Patented Bioenergy'}]",USDA-ARS-00044
,,,,,USDA Agricultural Research Service- Patented Crop Production Technologies,,,['005:040'],,Patented technologies on crop production that are available for licensing,,,['005:18'],"{'hasEmail': 'mailto:Robert.Griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['attractants', 'breeding', 'crops', 'equipment', 'irrigation', 'plants', 'repellant', 'sorghum', 'subsoil', 'trees']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'https://inventory.data.gov/dataset/3dbfa204-8d35-4f9e-9919-b8b4f11487c9/resource/a309177d-1d74-4bfb-a8bc-f939a4144f77/download/cropproductionnew.xml', '@type': 'dcat:Distribution', 'format': 'xml', 'mediaType': 'application/xml', 'title': 'Patented Crop Production'}]",USDA-ARS-00046
,,,,,USDA Agricultural Research Service- Patented Crop Protection Technologies,,,['005:040'],,Patented technologies on crop protection that are available for licensing,,,['005:18'],"{'hasEmail': 'mailto:Robert.Griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['attractants', 'bacterial', 'fungal', 'infection', 'insects', 'pesticides', 'soil', 'strains', 'virus']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'https://inventory.data.gov/dataset/cadd660f-df56-458a-83df-ccc57c88e776/resource/0500e1a6-40a0-424d-9cb2-8b9f5bfb1137/download/cropprotectionnew.xml', '@type': 'dcat:Distribution', 'format': 'xml', 'mediaType': 'application/xml', 'title': 'Patented Crop Protection'}]",USDA-ARS-00047
,,,,,USDA Agricultural Research Service- Patented Environment Technologies,,,['005:040'],,Patented technologies on environment that are available for licensing,,,['005:18'],"{'hasEmail': 'mailto:Robert.Griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['aerate', 'bio-oils', 'chars', 'emissions', 'manure', 'oxygen', 'rangeland', 'water']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'https://inventory.data.gov/dataset/5db978cd-fa1d-4e27-9971-f1802261a6d2/resource/f7b29c83-cb89-48ce-82a6-f29e063c22f8/download/environmentalnew.xml', '@type': 'dcat:Distribution', 'format': 'xml', 'mediaType': 'application/xml', 'title': 'Patented Environment'}]",USDA-ARS-00048
,,,,,USDA Agricultural Research Service- Patented Food Processing & Products Technologies,,,['005:040'],,Patented technologies on food processing and products that are available for licensing,,,['005:18'],"{'hasEmail': 'mailto:Robert.Griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['FDA', 'acid', 'animal', 'clones', 'food', 'fruits', 'packaging', 'poultry', 'protein', 'vegetables']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'https://inventory.data.gov/dataset/72200617-2c67-4535-b424-fb4cd7e928c8/resource/5f5c5e6c-5cc7-4e4d-b3b1-9e1fc221ace7/download/foodprocessingnew.xml', '@type': 'dcat:Distribution', 'format': 'xml', 'mediaType': 'application/xml', 'title': 'Patented Food Process and Production'}]",USDA-ARS-00049
,,,,,USDA Agricultural Research Service- Patented New Materials Technologies,,,['005:040'],,Patented technologies on new materials that are available for licensing,,,['005:18'],"{'hasEmail': 'mailto:Robert.Griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['acid', 'animals', 'composites', 'glycerides', 'heat', 'nanoparticles', 'plants']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'https://inventory.data.gov/dataset/9133e242-c8ff-494e-ac72-0b2d9a769e30/resource/630e3f76-193d-4a69-9e86-179d56c607af/download/newmaterialsnew.xml', '@type': 'dcat:Distribution', 'format': 'xml', 'mediaType': 'application/xml', 'title': 'Patented New Materials'}]",USDA-ARS-00051
,,,,,USDA Agricultural Research Service- Patented Plant Genes Technologies,,,['005:040'],,Patented technologies on plant genes that are available for licensing,,,['005:18'],"{'hasEmail': 'mailto:Robert.Griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['clones', 'genes', 'genotypes', 'infection', 'markers', 'virus']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'https://inventory.data.gov/dataset/5480c46a-7b5b-4dbc-8102-1f424ab6b1d6/resource/0ae49000-756e-4564-a3b3-dc3d1a344ad3/download/plantgenesnew.xml', '@type': 'dcat:Distribution', 'format': 'xml', 'mediaType': 'application/xml', 'title': 'Patented Plant Genes'}]",USDA-ARS-00050
2008-01-15,,,['http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/Choline/Choln02.pdf'],,USDA Database for the Choline Content of Common Foods,,n/a,['005:040'],http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/Choline/Choln02.pdf,"The database contains values for six choline metabolites (Betaine, glycerophosphocholine, phosphocholine, phosphatidylcholine, sphingomyelin, and total choline) for 634 food items.",,,['005:18'],"{'hasEmail': 'mailto:david.haytowitz@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'David B. Haytowitz'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['Betaine', 'Choline', 'food composition', 'glycerophosphocholine', 'phosphatidylcholine', 'phosphocholine', 'sphingomyelin']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,irregular,,"[{'downloadURL': 'http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/Choline/choln02.mdb', 'mediaType': 'application/msaccess', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00011
2011-09-01,,,['http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/Flav/Flav_R03.pdf'],,USDA Database for the Flavonoid Content of Selected Foods,,n/a,['005:040'],http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/Flav/Flav_R03.pdf,"The database contains values for 500 food items for five subclasses of flavonoids (flavonols, flavones, flavanones, flava-3-ols.anthocyanadins)",,,['005:18'],"{'hasEmail': 'mailto:david.haytowitz@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'David B. Haytowitz'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['Flavonoids', 'composition of foods']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,irregular,,"[{'downloadURL': 'http://www.ars.usda.gov/Services/docs.htm?docid=6231', 'mediaType': 'application/msaccess', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00010
2008-09-01,,,['http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/isoflav/Isoflav_R2.pdf'],,"USDA Database for the Isoflavone Content of Selected Foods, Release 2.0",,n/A,['005:040'],http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/isoflav/Isoflav_R2.pdf,"This database contains data on the isoflavone content of 557 food items. Isoflavones included in the database are daidzein, genistein, glycitein and total isoflavones. Other phytoestrogens included in the database are coumestrol, biochanin A, and formononetin.",,,['005:18'],"{'hasEmail': 'mailto:david.haytowitz@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'David B. Haytowitz'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['compostion of foods', 'daidzein', 'genistein', 'glycitein', 'isoflavones']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,irregular,,"[{'downloadURL': 'http://www.ars.usda.gov/Services/docs.htm?docid=6382', 'mediaType': 'application/msaccess', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00017
2004-08-01,,,['http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/PA/PA.pdf'],,USDA Database for the Proanthocyanidin Content of Selected Foods,,n/a,['005:040'],http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/PA/PA.pdf,"The database contains values for 205 food items for the following proanthocyanidins (Monomers, dimers, trimers, 4-6 mers (tetramers, pentamers and hexamers), 7-10 mers (heptamers, octamers, nonamers and decamers), polymers (DP>10))",,,['005:18'],"{'hasEmail': 'mailto:david.haytowitz@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'David B. Haytowitz'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['composition of foods', 'proanthocyanidins']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,irregular,,"[{'downloadURL': 'http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/PA/PA.mdb', 'mediaType': 'application/msaccess', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00014
1980-09-30,,,['http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/SR22/sr22_doc.pdf'],,"USDA National Nutrient Database for Standard Reference, Release 22",,United States of America,['005:040'],http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/SR22/sr22_doc.pdf,"The USDA Nutrient Database for Standard Reference, Release 22 (SR22) is the major source of food composition data in the United States and provides the foundation for most public and private sector databases.  SR22 contains nutrient data for over 7,500 food items for up to 143 food components, such as vitamins, minerals, amino acids, and fatty acids.  It replaces the previous release,",,,['005:18'],"{'hasEmail': 'mailto:david.haytowitz@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'David Haytowitz301-504-0714'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['food composition', 'nutrient compostion']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/PT1S,,"[{'downloadURL': 'http://www.ars.usda.gov/Services/docs.htm?docid=18879', 'mediaType': 'text/plain', '@type': 'dcat:Distribution', 'title': 'Text File'}]",USDA-ARS-00019
2012-09-28,,,['http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/SR25/sr25_doc.pdf'],,USDA National Nutrient Database for Standard reference,,N/A,['005:040'],http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/SR25/sr25_doc.pdf,"The USDA National Nutrient Database for Standard Reference, Release 25 (SR25) is the major source of food composition data in the United States and provides the foundation for most public and private sector databases. SR25 contains nutrient data for over 8,100 food items and up to 146 food components, such as vitamins, minerals, amino acids, and fatty acids. It replaces the previous release, SR24 issued in September 2011.",,,['005:18'],"{'hasEmail': 'mailto:david.haytowitz@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'David Haytowitz'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['amino acids', 'composition of food', 'fatty acids', 'minerals', 'nutrient', 'vitamins']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,irregular,,"[{'downloadURL': 'http://www.ars.usda.gov/Services/docs.htm?docid=8964', 'mediaType': 'text/plain', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00020
2010-08-11,,,['http://wheat.pw.usda.gov'],,USDA Potato Small RNA Database,,,['005:040'],,This is a public resource highlighting efforts at ARS in developing small RNA genome information for the potato genome. Updates and progress are reported here.,,,['005:18'],"{'hasEmail': 'mailto:gerard.lazo@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Gerard R. Lazo'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}",['Genetics Genomics Breeding'],https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P3M,,"[{'downloadURL': 'http://potato.pw.usda.gov', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00042
2010-06-13,,,['http://wheat.pw.usda.gov'],,USDA Public Citrus Genome Database,,n/a,['005:040'],,This is a public resource highlighting efforts at ARS in developing genome information for the Citrus Carrizo Genome. Updates and progress are reported here.,,,['005:18'],"{'hasEmail': 'mailto:gerard.lazo@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Gerard R. Lazo'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}",['Genetics Genomics Breeding'],https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P3M,,"[{'downloadURL': 'http://citrus.pw.usda.gov', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-ARS-00043
2012-12-07,,,['http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/retn/USDA_CookingYields_MeatPoultry.pdf'],,USDA Table of Cooking Yields for Meat and Poultry,,n/a,['005:040'],http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/retn/USDA_CookingYields_MeatPoultry.pdf,"USDA cooking yields data for meat and poultry, provided in electronic format for the first time, include updates to information which was previously printed in the USDA Agriculture Handbook No. 102 Food Yields (AH-102) in 1975. Data in the updated table, accessible below, are measures of changes in meat and poultry weights resulting from moisture and fat losses during cooking. The table includes percentages for cooking yield, moisture change, and fat change for specific cuts of meat and poultry prepared in USDA research studies according to specific cooking protocols.",,,['005:18'],"{'hasEmail': 'mailto:david.haytowitz@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'David B. haytowitz'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['chicken', 'cooking', 'meat', 'nutrient', 'nutrition', 'poultry', 'turkey', 'yield']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,irregular,,"[{'downloadURL': 'http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/retn/USDA_CookingYields_MeatPoultry.xlsx', 'mediaType': 'text/plain', '@type': 'dcat:Distribution', 'title': 'Text File'}]",USDA-ARS-00021
2007-12-01,,,['http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/retn/retn06.pdf'],,"USDA Table of Nutrient Retention Factors, Release 6",,n/a,['005:040'],http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/retn/retn06.pdf,"The data set contains the factors for calculating retention of 26 vitamins, minerals and alcohol during food preparation.",,,['005:18'],"{'hasEmail': 'mailto:David.Haytowitz@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'David B. Haytowitz'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['alcohol', 'mineral', 'nutrient retention', 'nutrition', 'vitamin']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,irregular,,"[{'downloadURL': 'http://www.ars.usda.gov/SP2UserFiles/Place/12354500/Data/retn/retn06.txt', 'mediaType': 'text/plain', '@type': 'dcat:Distribution', 'title': 'Text File'}]",USDA-ARS-00012
,,,,,USDA-ARS Pilot Plants,,,['005:040'],,USDA-ARS pilot plant facilities that are available to partners for scaling up lab bench technologies,,,['005:18'],"{'hasEmail': 'mailto:Robert.Griesbach@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Dr. Robert Griesbach'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service'}","['biological', 'capacity', 'chemical', 'enhancement', 'fermentation', 'food', 'plants', 'processing', 'reactions', 'research', 'safety']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-05-14,,,"[{'downloadURL': 'http://www.ars.usda.gov/business/Docs.htm?docid=24756', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Pilot Plants'}]",USDA-ARS-00052
1943-08-13,,,['http://www.ars.usda.gov/Business/Business.htm?docid=4357&modecode=64-02-15-00&page=1'],,"Uniform Soybean Tests, Southern States",,"regional, state",['005:040'],http://www.ars.usda.gov/Business/Business.htm?docid=4357&modecode=64-02-15-00&page=1,"The Uniform Soybean Tests, Southern States is an on-going standardized soybean testing program originating in 1943 and covers the Southern States region of the US. The annual reports have been scanned into a secured pdf format and placed online.",,,['005:18'],"{'hasEmail': 'mailto:ellen.keene@ars.usda.gov', '@type': 'vcard:Contact', 'fn': 'Ellen R. Keene'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Research Service, Department of Agriculture'}","['genetics', 'soybean', 'varieties', 'yield']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1Y,,"[{'downloadURL': 'http://www.ars.usda.gov/Business/Business.htm?docid=4357&modecode=64-02-15-00&page=3', 'mediaType': 'application/pdf', '@type': 'dcat:Distribution', 'title': 'PDF File'}]",USDA-ARS-00041
2010-10-15,,,['http://www.aphis.usda.gov/newsroom/2013/02/awa_feb.shtml'],,Animal Care Enforcement Actions,,United States and its territories.,['005:032'],http://www.aphis.usda.gov/animal_welfare/pubs_reports.shtml,"Contains monthly reports on 7060s and stipulations related to enforcement of the Animal Welfare and Horse Protection Acts. Form 7060 - Official warning of an alleged violation of statue or regulation and notice to the subject that APHIS may seek civil or criminal penalties for alleged violation in the future if the subject again violates. Stipulation - a pre-litigation monetary settlement between APHIS and the subject.  The stipulation provides the subject with notice of alleged violation, affords the subject an opportunity for an administrative hearing, and offers the subject an opportunity to waive the hearing and pay a monetary penalty calculated within Civil Penalty guidelines.",,,['005:32'],"{'hasEmail': 'mailto:Sarah.L.Conant@aphis.usda.gov', '@type': 'vcard:Contact', 'fn': 'Sarah L. Conant'}",public,"{'@type': 'org:Organization', 'name': 'Animal and Plant Health Inspection Service, Department of Agriculture'}","['Animal Welfare Act', 'Horse Protection Act', 'animal care', 'complaints', 'enforcement actions', 'investigation', 'litigation', 'penalties', 'settlement', 'stipulations']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-02-26,R/P1M,,"[{'downloadURL': 'http://www.aphis.usda.gov/foia/enforcement_actions.php', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web page'}]",USDA-APHIS-00002
2005-06-24,,,['http://www.aphis.usda.gov/biotechnology/submissions.shtml'],,"Biotechnology Regulatory Services public data file (permits, notifications, and petitions)",,U.S. states and territories.,['005:032'],http://www.aphis.usda.gov/brs/status/BRS_public_data_file.xlsx,"Public information on BRS applications for genetically engineered permits, notifications, and petitions.",,,['005:32'],"{'hasEmail': 'mailto:Steven.M.Bennett@aphis.usda.gov', '@type': 'vcard:Contact', 'fn': 'Steven Bennett'}",public,"{'@type': 'org:Organization', 'name': 'Animal and Plant Health Inspection Service, Department of Agriculture'}","['Agronomic Properties', 'Article', 'BRS', 'Bacterial Resistance', 'Fungal Resistance', 'GE', 'Genotypes', 'Herbicide Tolerance', 'Insect Resistance', 'Institution', 'Marker Gene', 'Nematode Resistance', 'Notifications', 'Permits', 'Petitions', 'Phenotypes', 'Product Quality', 'Virus Resistance']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-02-26,R/P1M,,"[{'downloadURL': 'http://www.aphis.usda.gov/brs/status/BRS_public_data_file.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-APHIS-00001
,,,,,National Animal Health Monitoring System,,,['005:053'],,"The National Animal Health Monitoring System (NAHMS) Program Unit conducts national studies on the health, management, and productivity of United States domestic livestock and poultry populations.",,,['005:32'],"{'hasEmail': 'mailto:Bruce.A.Wagner@aphis.usda.gov', '@type': 'vcard:Contact', 'fn': 'Bruce Wagner, Director'}",public,"{'@type': 'org:Organization', 'name': 'Animal and Plant Health Inspection Service'}","['animal health', 'livestock', 'poultry', 'production']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-07-15,,,"[{'downloadURL': 'http://www.aphis.usda.gov/wps/portal/aphis/ourfocus/animalhealth?1dmy&urile=wcm%3apath%3a%2FAPHIS_Content_Library%2FSA_Our_Focus%2FSA_Animal_Health%2FSA_Monitoring_And_Surveillance%2FSA_NAHMS%2F', '@type': 'dcat:Distribution', 'description': 'The National Animal Health Monitoring System (NAHMS) Program Unit conducts national studies on the health, management, and productivity of Unites States domestic livestock and poultry populations.', 'mediaType': 'text/html', 'title': 'National Animal Health Monitoring System'}]",USDA-NIFA-RV-0003
